;SERCODIGOTROLL;FNTID;TEMID;PERID;SERNOME_P;SERDESCRICAO_P;BANCO;GRANDE_TEMA;Extração de dados;Link da fonte;Link no comentário (se houver)
205;FUNCEX_MQVEIC2N;Funcex;Comércio exterior;ANUAL;Importações - setor: veículos automotores, reboques,carrocerias - quantum - índice(média 2006 = 100);Importações - setor: veículos automotores, reboques, carrocerias - quantum - índice(média 2006 = 100);FUNCEX;Macro;;;
206;FUNCEX_MQVEST2N;Funcex;Comércio exterior;ANUAL;Importações - setor: artigos de vestuário e acessórios - quantum - índice (média 2006 = 100);Importações - setor: confecção de artigos do  vestuário e acessórios - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
207;FUNCEX_MQDIV2N;Funcex;Comércio exterior;ANUAL;Importações - setor: indústrias diversas - quantum - índice (média 2006 = 100);Importações - setor: indústrias diversas - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
208;FUNCEX_MQPRF2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produção florestal - quantum - índice (média 2006 = 100);Importações - setor: produção florestal - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
209;FUNCEX_MQPES2N;Funcex;Comércio exterior;ANUAL;Importações - setor: pesca e aqüicultura - quantum - índice (média 2006 = 100);Importações - setor: pesca e aqüicultura - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
210;FUNCEX_MQFUMO2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos do fumo - quantum - índice (média 2006 = 100);Importações - setor: produtos do fumo - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
211;FUNCEX_MQIMQG2N;Funcex;Comércio exterior;ANUAL;Importações - setor: impressão e reprodução de gravações - quantum - índice (média 2006 = 100);Importações - setor: impressão e reprodução de gravações - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
212;FUNCEX_MQFARM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos farmoquímicos farmacêuticos - quantum - índice (média 2006 = 100);Importações - setor: produtos farmoquímicos farmacêuticos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
213;FUNCEX_MVAGP2N;Funcex;Comércio exterior;ANUAL;Importações - setor: agricultura e pecuária - (FOB);Importações - setor: agricultura e pecuária - (FOB);FUNCEX;Macro;;;
214;FUNCEX_MVAL2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos alimentícios - (FOB);Importações - setor: produtos alimentícios - (FOB);FUNCEX;Macro;;;
215;FUNCEX_MVBEB2N;Funcex;Comércio exterior;ANUAL;Importações - setor: bebidas - (FOB);Importações - setor: bebidas - (FOB);FUNCEX;Macro;;;
216;FUNCEX_MVCAL2N;Funcex;Comércio exterior;ANUAL;Importações - setor: couros, artefatos de couro e calçados - (FOB);Importações - setor: couros, artefatos de couro, artigos para viagem e calçados - (FOB);FUNCEX;Macro;;;
217;FUNCEX_MVEMM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de minerais metálicos - (FOB);Importações - setor: extração de minerais metálicos - (FOB);FUNCEX;Macro;;;
218;FUNCEX_MVEMNM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de minerais não-metálicos - (FOB);Importações - setor: extração de minerais não-metálicos - (FOB);FUNCEX;Macro;;;
219;FUNCEX_MVEPET2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de petróleo e gás natural - (FOB);Importações - setor: extração de petróleo e gás natural - (FOB);FUNCEX;Macro;;;
220;FUNCEX_MVMAD2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de madeira - (FOB);Importações - setor: produtos de madeira - (FOB);FUNCEX;Macro;;;
221;FUNCEX_MVMAQELET2N;Funcex;Comércio exterior;ANUAL;Importações - setor: máquinas, aparelhos e materiais elétricos - (FOB);Importações - setor: máquinas, aparelhos e materiais elétricos - (FOB);FUNCEX;Macro;;;
222;FUNCEX_MVMAQEQU2N;Funcex;Comércio exterior;ANUAL;Importações - setor: máquinas e equipamentos - (FOB);Importações - setor: máquinas e equipamentos - (FOB);FUNCEX;Macro;;;
223;FUNCEX_MVMAQINF2N;Funcex;Comércio exterior;ANUAL;Importações - setor: eq. de informática, eletrônicos e ópticos - (FOB);Importações - setor: equipamentos de informática, produtos eletrônicos e ópticos - (FOB);FUNCEX;Macro;;;
224;FUNCEX_MVMETBAS2N;Funcex;Comércio exterior;ANUAL;Importações - setor: metalurgia - (FOB);Importações - setor: metalurgia - (FOB);FUNCEX;Macro;;;
225;FUNCEX_MVMET2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de metal - (FOB);Importações - setor: produtos de metal, exceto  máquinas e equipamentos - (FOB);FUNCEX;Macro;;;
226;FUNCEX_MVMNM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de minerais não-metálicos - (FOB);Importações - setor: produtos de minerais não-metálicos - (FOB);FUNCEX;Macro;;;
227;FUNCEX_MVMOV2N;Funcex;Comércio exterior;ANUAL;Importações - setor: móveis - (FOB);Importações - setor: móveis - (FOB);FUNCEX;Macro;;;
228;FUNCEX_MVOUTTRANS2N;Funcex;Comércio exterior;ANUAL;Importações - setor: outros equipamentos de transporte - (FOB);Importações - setor: outros equipamentos de transporte, exceto veículos automotores - (FOB);FUNCEX;Macro;;;
229;FUNCEX_MVPAP2N;Funcex;Comércio exterior;ANUAL;Importações - setor: celulose, papel e produtos de papel - (FOB);Importações - setor: celulose, papel e produtos de papel - (FOB);FUNCEX;Macro;;;
230;FUNCEX_MVPETCOMB2N;Funcex;Comércio exterior;ANUAL;Importações - setor: derivados do petróleo - (FOB);Importações - setor: derivados do petróleo biocombustíveis e coque - (FOB);FUNCEX;Macro;;;
231;FUNCEX_MVPLAS2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de borracha e material plástico - (FOB);Importações - setor: produtos de borracha e de material plástico - (FOB);FUNCEX;Macro;;;
232;FUNCEX_MVQUIM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos químicos - (FOB);Importações - setor: produtos químicos - (FOB);FUNCEX;Macro;;;
